artist,file,thumb,title,background,foreground,cellwidth,imgheight,prize,prizedesc,instagram,twitter,tumblr,gallery
Sophie Scruggs,01.png,01t.png,"Marina, Skystar, and Mocha",#bbebb1,#6ebb5f,70,24em,EFNW 2018 Grand Prize,,https://www.instagram.com/sophieascruggs,https://twitter.com/sophieascruggs,,https://facebook.com/SophilliaPlush
Ashen_The_Birb (Ashen Wilson),02.jpg,02t.jpg,Unexpected Guests,#dcb0ed,#894da0,33,20em,Twilight,The Most Well Thought-Out,https://www.instagram.com/Ashen_the_birb,,,
CloudyGlow,03.png,03t.png,Pacific Ponies at the Park,#f7ca8a,#885603,33,20em,Applejack,The Most True to the Show,,https://twitter.com/SilverMapWolf,,
Nurse Redheart (Angela Schultze),04.jpg,04t.jpg,Marina's Wisdom,#e3e8e8,#b29dc0,33,20em,Rarity,The Most Elegant,,,,
Moozua,05.png,05t.png,Deep Blue ,#fffccb,#ded663,33,20em,Fluttershy,The Sweetest/Cutest,https://www.instagram.com/moozua,https://twitter.com/moozuamary,https://moozua.tumblr.com,
Sunset Canvas,06.png,06t.png,Stories of the Night,#b6e0f4,#51add8,33,20em,Rainbow Dash,The Most Jaw Dropping,https://www.instagram.com/sunny.synopsis/,,http://sunny-synopsis.tumblr.com/,
OverClock (Joseph Pena),07.png,07t.png,Touche and OverClock Racing to Meet the Contest Deadline!,#f5c7db,#d86c9b,33,20em,Pinkie Pie,The Most Fun,,,https://ssgoverclock.tumblr.com/,https://assassinbunny.deviantart.com
Nurse Redheart (Angela Schultze),08.jpg,08t.jpg,Not Enough Coffee,#a6cea6,#4d954d,25,14em,Runner-Up,,,,,
Ber (Ace),09.jpg,09t.jpg,My Entry for the Everfree Northwest Art Contest,#a6cea6,#4d954d,25,14em,Runner-Up,,https://www.instagram.com/Berushogun ,,https://Berushogunposts.tumblr.com,
CookieCup (Patience Larrabee),10.png,10t.png,Under Da Sea,#a6cea6,#4d954d,25,14em,Runner-Up,,https://www.instagram.com/tobycat81/,,,
Musicdove,11.png,11t.png,CMC and Sharpie,#a6cea6,#4d954d,25,14em,Runner-Up,,,,,https://musicdove.deviantart.com
Solar Serenade,12.png,12t.png,A Whale Of A Time,#a6cea6,#4d954d,25,14em,Runner-Up,,,https://twitter.com/solar_serenade,,https://songbirdserenade.deviantart.com/gallery
Halfcaff Mac (Mackenzie Pena),13.png,13t.png,Seapony Halfcaff and Marina,#a6cea6,#4d954d,25,14em,Runner-Up,,,,,
Halfcaff Mac (Mackenzie Pena),14.png,14t.png,Marina in the Sunset,#a6cea6,#4d954d,25,14em,Runner-Up,,,,,
Short Fuse (Willow Angelique Pena),15.png,15t.png,MoonGlare Give Her Back Her Visor!,#a6cea6,#4d954d,25,14em,Runner-Up,,,,,
Candy Corn (Kimberly Brown),16.png,16t.png,Soaring Among the Clouds with Friends,#a6cea6,#4d954d,25,14em,Runner-Up,,,,,https://neonaitsumi.deviantart.com/
